Parameters,Sens,PPV,PocNum_Mean,PocNum_Max
m3.1_M5.5_i38_D1.5,0.786,0.688,1.23,2
m3.1_M5.6_i40_D1.5,0.786,0.688,1.23,2
m3.2_M5.8_i44_D1.7,0.786,0.688,1.23,2
m2.9_M5.5_i40_D1.5,0.786,0.647,1.31,2
m2.9_M5.6_i44_D1.5,0.786,0.647,1.31,2
m3.1_M5.8_i44_D1.55,0.786,0.647,1.31,3
m3.1_M5.8_i44_D1.6,0.786,0.647,1.31,3
m3.2_M5.7_i36_D1.5,0.786,0.647,1.31,3
m2.8_M5.5_i38_D1.5,0.786,0.611,1.38,3
m2.8_M5.5_i40_D1.5,0.786,0.611,1.38,3
m2.8_M5.5_i42_D1.5,0.786,0.611,1.38,3
m2.9_M5.5_i38_D1.5,0.786,0.611,1.38,3
m3.2_M5.7_i36_D1.55,0.786,0.611,1.38,3
m3.2_M5.7_i36_D1.6,0.786,0.611,1.38,3
m3.2_M5.8_i36_D1.5,0.786,0.611,1.38,4
m3.2_M5.8_i36_D1.55,0.786,0.579,1.46,4
m3.2_M5.8_i36_D1.6,0.786,0.579,1.46,4
m2.8_M5.4_i36_D1.5,0.786,0.55,1.54,2
m2.9_M5.5_i36_D1.5,0.786,0.55,1.54,3
m2.8_M5.5_i36_D1.5,0.786,0.5,1.69,3
m3.0_M5.4_i42_D1.55,0.769,0.909,0.846,2
m3.0_M5.4_i42_D1.6,0.769,0.909,0.846,2
m3.0_M5.4_i42_D1.65,0.769,0.909,0.846,2
m3.1_M5.4_i40_D1.55,0.769,0.909,0.846,2
m3.1_M5.4_i40_D1.6,0.769,0.909,0.846,2
m3.1_M5.4_i40_D1.65,0.769,0.909,0.846,2
m3.0_M5.4_i44_D1.7,0.769,0.833,0.923,2
m3.1_M5.4_i40_D1.7,0.769,0.833,0.923,2
m3.2_M5.4_i36_D1.7,0.769,0.833,0.923,2
m3.0_M5.4_i36_D1.5,0.769,0.769,1,2
m3.0_M5.4_i38_D1.5,0.769,0.769,1,2
m3.0_M5.4_i40_D1.5,0.769,0.769,1,2
m3.1_M5.4_i36_D1.5,0.769,0.769,1,2
m3.1_M5.4_i38_D1.5,0.769,0.769,1,2
m2.9_M5.4_i40_D1.5,0.769,0.714,1.08,2
m3.0_M5.5_i44_D1.7,0.769,0.714,1.08,2
m3.1_M5.5_i40_D1.55,0.769,0.714,1.08,2
m3.1_M5.5_i40_D1.6,0.769,0.714,1.08,2
m3.1_M5.5_i40_D1.65,0.769,0.714,1.08,2
m3.1_M5.5_i40_D1.7,0.769,0.714,1.08,2
m3.0_M5.5_i40_D1.5,0.769,0.667,1.15,2
m3.0_M5.5_i42_D1.5,0.769,0.667,1.15,2
m2.9_M5.5_i42_D1.5,0.769,0.625,1.23,2
m2.8_M5.4_i38_D1.5,0.769,0.588,1.31,2
m2.8_M5.4_i40_D1.5,0.769,0.588,1.31,2
m2.9_M5.4_i36_D1.5,0.769,0.588,1.31,2
m2.9_M5.4_i38_D1.5,0.769,0.588,1.31,2
m3.2_M5.7_i42_D1.5,0.714,1,0.769,2
m3.2_M5.7_i44_D1.5,0.714,1,0.769,2
m3.2_M5.6_i44_D1.7,0.714,0.909,0.846,2
m3.2_M5.7_i44_D1.55,0.714,0.909,0.846,2
m3.2_M5.7_i44_D1.6,0.714,0.909,0.846,2
m3.2_M5.7_i44_D1.65,0.714,0.909,0.846,2
m3.2_M5.7_i44_D1.7,0.714,0.909,0.846,2
m3.2_M5.8_i44_D1.5,0.714,0.909,0.846,2
m3.2_M5.6_i40_D1.55,0.714,0.833,0.923,2
m3.2_M5.6_i40_D1.6,0.714,0.833,0.923,2
m3.2_M5.6_i42_D1.7,0.714,0.833,0.923,2
m3.2_M5.7_i40_D1.5,0.714,0.833,0.923,2
m3.2_M5.8_i42_D1.5,0.714,0.833,0.923,2
m3.1_M5.6_i44_D1.55,0.714,0.769,1,2
m3.1_M5.6_i44_D1.6,0.714,0.769,1,2
m3.1_M5.6_i44_D1.65,0.714,0.769,1,2
m3.1_M5.6_i44_D1.7,0.714,0.769,1,2
m3.2_M5.5_i38_D1.65,0.714,0.769,1,2
m3.2_M5.6_i38_D1.55,0.714,0.769,1,2
m3.2_M5.6_i38_D1.6,0.714,0.769,1,2
m3.2_M5.7_i38_D1.5,0.714,0.769,1,2
m3.2_M5.7_i40_D1.55,0.714,0.769,1,2
m3.2_M5.7_i40_D1.6,0.714,0.769,1,2
m3.2_M5.7_i42_D1.55,0.714,0.769,1,2
m3.2_M5.7_i42_D1.6,0.714,0.769,1,2
m3.1_M5.6_i42_D1.5,0.714,0.714,1.08,2
m3.2_M5.5_i36_D1.55,0.714,0.714,1.08,2
m3.2_M5.5_i36_D1.6,0.714,0.714,1.08,2
m3.2_M5.8_i44_D1.55,0.714,0.714,1.08,2
m3.2_M5.8_i44_D1.6,0.714,0.714,1.08,2
m3.2_M5.8_i40_D1.5,0.714,0.667,1.15,2
m3.2_M5.6_i36_D1.55,0.714,0.667,1.15,3
m3.2_M5.7_i38_D1.55,0.714,0.667,1.15,3
m3.2_M5.8_i42_D1.55,0.714,0.667,1.15,3
m3.2_M5.8_i42_D1.6,0.714,0.667,1.15,3
m3.2_M5.6_i36_D1.6,0.714,0.625,1.23,3
m3.2_M5.7_i38_D1.6,0.714,0.625,1.23,3
m3.2_M5.8_i40_D1.55,0.714,0.625,1.23,3
m3.2_M5.8_i40_D1.6,0.714,0.625,1.23,3
m2.8_M5.5_i44_D1.5,0.714,0.588,1.31,3
m3.2_M5.8_i38_D1.5,0.714,0.588,1.31,3
m3.2_M5.8_i38_D1.55,0.714,0.556,1.38,3
m3.2_M5.8_i38_D1.6,0.714,0.556,1.38,3
m3.0_M5.4_i44_D1.55,0.692,0.9,0.769,2
m3.0_M5.4_i44_D1.6,0.692,0.9,0.769,2
m3.0_M5.4_i44_D1.65,0.692,0.9,0.769,2
m3.2_M5.4_i38_D1.7,0.692,0.9,0.769,2
m3.2_M5.4_i40_D1.7,0.692,0.9,0.769,2
m3.2_M5.4_i42_D1.7,0.692,0.9,0.769,2
m3.2_M5.5_i42_D1.7,0.692,0.9,0.769,2
m3.2_M5.5_i44_D1.7,0.692,0.9,0.769,2
m3.0_M5.4_i42_D1.5,0.692,0.818,0.846,2
m3.1_M5.4_i40_D1.5,0.692,0.818,0.846,2
m3.1_M5.4_i42_D1.7,0.692,0.818,0.846,2
m3.1_M5.4_i44_D1.7,0.692,0.818,0.846,2
m3.1_M5.5_i44_D1.7,0.692,0.818,0.846,2
m3.2_M5.5_i40_D1.7,0.692,0.818,0.846,2
m2.9_M5.4_i44_D1.5,0.692,0.75,0.923,2
m2.9_M5.4_i42_D1.5,0.692,0.692,1,2
m3.0_M5.5_i44_D1.55,0.692,0.692,1,2
m3.0_M5.5_i44_D1.6,0.692,0.692,1,2
m3.0_M5.5_i44_D1.65,0.692,0.692,1,2
m3.1_M5.5_i40_D1.5,0.692,0.692,1,2
m3.1_M5.5_i42_D1.55,0.692,0.692,1,2
m3.1_M5.5_i42_D1.6,0.692,0.692,1,2
m3.1_M5.5_i42_D1.65,0.692,0.692,1,2
m3.1_M5.5_i42_D1.7,0.692,0.692,1,2
m2.8_M5.4_i44_D1.5,0.692,0.643,1.08,2
m2.9_M5.5_i44_D1.5,0.692,0.643,1.08,2
m2.8_M5.4_i42_D1.5,0.692,0.6,1.15,2
m3.1_M5.6_i44_D1.5,0.643,0.9,0.769,2
m3.2_M5.6_i40_D1.5,0.643,0.9,0.769,2
m3.2_M5.6_i42_D1.55,0.643,0.818,0.846,2
m3.2_M5.6_i42_D1.6,0.643,0.818,0.846,2
m3.2_M5.6_i42_D1.65,0.643,0.818,0.846,2
m3.2_M5.5_i36_D1.5,0.643,0.75,0.923,2
m3.2_M5.5_i38_D1.55,0.643,0.75,0.923,2
m3.2_M5.5_i38_D1.6,0.643,0.75,0.923,2
m3.2_M5.6_i38_D1.5,0.643,0.75,0.923,2
m3.2_M5.6_i36_D1.5,0.643,0.643,1.08,2
m3.1_M5.4_i42_D1.55,0.615,0.889,0.692,2
m3.1_M5.4_i42_D1.6,0.615,0.889,0.692,2
m3.1_M5.4_i42_D1.65,0.615,0.889,0.692,2
m3.1_M5.4_i44_D1.55,0.615,0.889,0.692,2
m3.1_M5.4_i44_D1.6,0.615,0.889,0.692,2
m3.1_M5.4_i44_D1.65,0.615,0.889,0.692,2
m3.2_M5.4_i38_D1.55,0.615,0.889,0.692,2
m3.2_M5.4_i38_D1.6,0.615,0.889,0.692,2
m3.2_M5.4_i38_D1.65,0.615,0.889,0.692,2
m3.2_M5.4_i40_D1.55,0.615,0.889,0.692,2
m3.2_M5.4_i40_D1.6,0.615,0.889,0.692,2
m3.2_M5.4_i40_D1.65,0.615,0.889,0.692,2
m3.2_M5.4_i42_D1.55,0.615,0.889,0.692,2
m3.2_M5.4_i42_D1.6,0.615,0.889,0.692,2
m3.2_M5.4_i42_D1.65,0.615,0.889,0.692,2
m3.2_M5.4_i44_D1.7,0.615,0.889,0.692,2
m3.2_M5.5_i40_D1.55,0.615,0.889,0.692,2
m3.2_M5.5_i40_D1.6,0.615,0.889,0.692,2
m3.2_M5.5_i42_D1.55,0.615,0.889,0.692,2
m3.2_M5.5_i42_D1.6,0.615,0.889,0.692,2
m3.2_M5.5_i42_D1.65,0.615,0.889,0.692,2
m3.2_M5.6_i44_D1.55,0.615,0.889,0.692,2
m3.2_M5.6_i44_D1.6,0.615,0.889,0.692,2
m3.2_M5.6_i44_D1.65,0.615,0.889,0.692,2
m3.1_M5.5_i42_D1.5,0.615,0.8,0.769,1
m3.0_M5.4_i44_D1.5,0.615,0.8,0.769,2
m3.1_M5.5_i44_D1.55,0.615,0.8,0.769,2
m3.1_M5.5_i44_D1.6,0.615,0.8,0.769,2
m3.1_M5.5_i44_D1.65,0.615,0.8,0.769,2
m3.2_M5.4_i36_D1.55,0.615,0.8,0.769,2
m3.2_M5.4_i36_D1.6,0.615,0.8,0.769,2
m3.2_M5.4_i36_D1.65,0.615,0.8,0.769,2
m3.2_M5.5_i40_D1.65,0.615,0.8,0.769,2
m3.0_M5.5_i44_D1.5,0.615,0.667,0.923,2
m3.2_M5.6_i42_D1.5,0.571,1,0.615,2
m3.2_M5.5_i38_D1.5,0.571,0.8,0.769,2
m3.1_M5.4_i42_D1.5,0.538,1,0.538,1
m3.1_M5.4_i44_D1.5,0.538,1,0.538,1
m3.2_M5.4_i40_D1.5,0.538,1,0.538,1
m3.2_M5.4_i42_D1.5,0.538,1,0.538,1
m3.2_M5.5_i40_D1.5,0.538,1,0.538,1
m3.2_M5.5_i42_D1.5,0.538,1,0.538,1
m3.2_M5.6_i44_D1.5,0.538,1,0.538,1
m3.1_M5.5_i44_D1.5,0.538,0.875,0.615,1
m3.2_M5.4_i38_D1.5,0.538,0.875,0.615,1
m3.2_M5.4_i44_D1.55,0.538,0.875,0.615,2
m3.2_M5.4_i44_D1.6,0.538,0.875,0.615,2
m3.2_M5.4_i44_D1.65,0.538,0.875,0.615,2
m3.2_M5.5_i44_D1.55,0.538,0.875,0.615,2
m3.2_M5.5_i44_D1.6,0.538,0.875,0.615,2
m3.2_M5.5_i44_D1.65,0.538,0.875,0.615,2
m3.2_M5.4_i36_D1.5,0.538,0.778,0.692,1
m3.2_M5.4_i44_D1.5,0.462,1,0.462,1
m3.2_M5.5_i44_D1.5,0.462,1,0.462,1
